train_index,match_date,match_time,tournament,match_id,homeTeam,awayTeam,firstHalfHomeGoal,firstHalfAwayGoal,totalHomeGoal,totalAwayGoal,homeCorner,awayCorner,index,distance
355,2025-05-17,09:30:00,Avustralya NPL NNSW (2.Lig),2126923,Weston Workers,Charlestown City,,,,,,,355,1.6413409152275467
399,2025-05-16,20:30:00,İsveç Lig 1,2165432,FC Arlanda,Sollentuna,1.0,1.0,2.0,2.0,,,399,1.7109646401957
629,2025-05-17,19:00:00,İsviçre Süper Lig Düşme Turu,2147973,St. Gallen,Zürih,3.0,2.0,3.0,2.0,,,629,1.7204941150727602
421,2025-05-18,02:00:00,Uruguay Primera Ligi,2164066,Penarol,Torque,1.0,1.0,2.0,1.0,,,421,1.7357131099349332
276,2025-05-18,17:00:00,İzlanda Urvalsdeild,2129611,Fram Rey.,IF Vestri,,,,,,,276,1.745709025009609
478,2025-05-16,22:15:00,İzlanda Lig 1,2125707,UMF Njardvik,Ir Reykjavik,1.0,1.0,1.0,1.0,,,478,1.747111902540877
353,2025-05-18,21:00:00,Uruguay Primera Ligi,2164061,Nacional,D. Sporting,,,,,,,353,1.7514850841500198
783,2025-05-17,01:00:00,Bolivya Profesyonel Ligi,2129271,Nacional Potosi,Aurora,3.0,1.0,3.0,1.0,,,783,1.780786343164165
646,2025-05-16,20:15:00,İsveç Lig 2,2125804,Herrestads AIF,Vanersborgs,3.0,0.0,3.0,0.0,,,646,1.7851610571598293
746,2025-05-17,15:00:00,İsveç 2.Lig Kuzey Svealand,2127673,Taby FK,Bollstanas SK,2.0,4.0,2.0,4.0,,,746,1.8074014495955235
733,2025-05-17,03:30:00,Bolivya Profesyonel Ligi,2129267,Real Tomayapo,Ind. Petrolero,3.0,3.0,3.0,3.0,,,733,1.808092917966331
751,2025-05-17,18:30:00,Polonya 1. Lig,2127483,Polonia Varş,LKS Lodz,0.0,1.0,0.0,1.0,,,751,1.839130229211624
351,2025-05-17,16:00:00,Portekiz 2. Lig,2125776,Felgueiras 1932,Oliveirense,2.0,1.0,2.0,1.0,,,351,1.8397554185271483
75,2025-05-17,19:30:00,Sırbistan Superliga - Şampiyonluk Turu,2127612,Tsc Backa To,OFK Belgrad,3.0,2.0,3.0,2.0,,,75,1.851674917473367
175,2025-05-19,02:00:00,ABD USL Lig 1 (3.Lig),2129868,Spokane Velocity FC,Richmond,,,,,,,175,1.8681809334215997
782,2025-05-17,11:15:00,Avustralya NPL Victoria (2.Lig),2126938,Altona Magic,Melbourne Victory Ge,1.0,0.0,1.0,0.0,,,782,1.870240626229684
380,2025-05-18,21:00:00,Uruguay Primera Ligi,2164064,Liver. Montevideo,Cerro Largo,,,,,,,380,1.8853646862079492
605,2025-05-17,18:00:00,Hırvatistan 1. HNL,2127051,VSN Varazdin,Osijek,2.0,1.0,2.0,1.0,,,605,1.8892855792600542
33,2025-05-18,08:00:00,Avustralya NPL NSW (2.Lig),2129254,Apia Leic,Sydney Oly.,2.0,0.0,2.0,0.0,,,33,1.902077811236964
191,2025-05-17,17:00:00,İsveç Lig 1,2168770,Karlbergs BK,Gefle,0.0,1.0,0.0,1.0,,,191,1.9073804025416643
387,2025-05-17,14:15:00,Danimarka 3.Ligi - Düşme Turu,2143671,Lyseng IF,Silkeborg Kfum,3.0,1.0,3.0,1.0,,,387,1.919010161515566
132,2025-05-16,19:00:00,Letonya Virsliga,2125742,SK Super Nova,FK Tukums 2000/Tss,0.0,1.0,1.0,1.0,,,132,1.9205467971387733
390,2025-05-20,01:00:00,Uruguay Primera Ligi,2164062,Boston River,Ca Cerro,,,,,,,390,1.935510268637188
88,2025-05-19,22:00:00,Şili Primera Ligi,2129398,Un. Espanola,Everton DV,,,,,,,88,1.945404842185811
367,2025-05-17,08:00:00,Avustralya NPL Victoria (2.Lig),2126937,Avondale FC,Oakleigh C.,3.0,0.0,3.0,0.0,,,367,1.9550447565209348
540,2025-05-16,20:00:00,İsveç Lig 2,2125796,Kristianstad,Linero IF,2.0,1.0,2.0,1.0,,,540,1.960637651377735
294,2025-05-17,15:00:00,2.Lig Güney Norrland,2145190,Gottne IF,Kubikenborgs IF,1.0,2.0,1.0,2.0,,,294,1.9795706605221246
602,2025-05-17,08:00:00,Güney Kore K-Lig 3,2127667,Mokpo City,Jeonbuk FC II,1.0,1.0,1.0,1.0,,,602,2.004669548828435
149,2025-05-16,20:00:00,İsveç Lig 1,2125798,Norrby,Trollhattan,0.0,0.0,1.0,1.0,,,149,2.0129580224137817
27,2025-05-18,07:00:00,Avustralya NPL NNSW (2.Lig),2129242,Broad. Magic,Edgeworth,,,,,,,27,2.015539629975059
25,2025-05-18,19:00:00,Türkiye Süper Lig,2129827,Antalyaspor,Gaziantep,,,,,,,25,2.020148509392317
565,2025-05-18,02:15:00,Honduras Ulusal Ligi - Play-Off,2172185,Real CD Espana,Motagua,2.0,0.0,2.0,0.0,,,565,2.0255616505058542
209,2025-05-18,09:00:00,Avustralya NPL Queensland (2.Lig),2129245,Peninsula P.,Olympic,,,,,,,209,2.026672149115391
394,2025-05-16,19:40:00,Suudi Profesyonel Ligi,2123390,AL Orouba SC,AL Khaleej,1.0,1.0,1.0,2.0,,,394,2.0607037632808844
210,2025-05-17,11:30:00,Avustralya Victoria NPL 2,2126936,FC Melbourne Srbija,Kingston Cit,3.0,2.0,3.0,2.0,,,210,2.07552403021502
673,2025-05-17,21:15:00,Peru Primera Ligi,2147958,Cajamarca,Comerciantes Unidos,1.0,0.0,2.0,0.0,,,673,2.0894496883150833
499,2025-05-16,21:15:00,İsviçre Challenge Ligi,2125811,Std. Nyonnis,N. Xamax,1.0,2.0,1.0,3.0,,,499,2.1051840774621113
424,2025-05-17,10:00:00,Avustralya NPL Queensland (2.Lig),2126925,S. C. Wanderers,ST George Willawong ,2.0,3.0,2.0,3.0,,,424,2.1114686831681877
729,2025-05-17,19:30:00,Sırbistan Superliga - Şampiyonluk Turu,2127614,FK Vojvodina,Radnicki,0.0,0.0,0.0,0.0,,,729,2.1152068456772732
356,2025-05-18,19:00:00,Türkiye Süper Lig,2129828,Bodrum FK,Trabzonspor,,,,,,,356,2.1469979040511427
765,2025-05-19,19:00:00,Katar Emir Kupası,2174764,Al Gharrafa,UMM Salal,,,,,,,765,2.1560148422494683
28,2025-05-16,20:30:00,İsveç 2.Lig Kuzey Svealand,2125797,FC Nacka Iliria,Skiljebo SK,4.0,0.0,4.0,0.0,,,28,2.1641395518773736
96,2025-05-16,18:00:00,Slovakya 2. Lig,2125789,Stk Samorin,FK Raven Povazska By,0.0,1.0,0.0,1.0,,,96,2.1695391215647617
497,2025-05-18,18:00:00,Macaristan NB II,2129601,Bekescsaba,Budafoki Mte,,,,,,,497,2.182521477557552
447,2025-05-17,08:00:00,Japonya J3 (3.Lig),2127375,Kagoshima Utd.,Fukushima Utd.,5.0,0.0,5.0,0.0,,,447,2.1833689564523904
543,2025-05-18,19:00:00,Türkiye Süper Lig,2129825,Kasımpaşa,Başakşehir,,,,,,,543,2.212668072712218
357,2025-05-19,20:00:00,Polonya 1. Lig,2127489,M. Legnica,Nieciecza,,,,,,,357,2.2286543024883874
298,2025-05-18,07:30:00,Avustralya NPL Güney (2.Lig),2129256,Adelaide Comets,West Torrens Birkall,0.0,1.0,0.0,1.0,,,298,2.2388836503936513
728,2025-05-17,19:00:00,İzlanda Lig 1,2127332,UMF Selfoss,Völsungur,1.0,2.0,1.0,2.0,,,728,2.2553491969094273
443,2025-05-17,17:00:00,İsveç Lig 1,2127674,Jönköpings,Rosengaard ,3.0,0.0,3.0,0.0,,,443,2.265744910619905
119,2025-05-16,16:00:00,Ruanda Ulusal Lig,2125838,Kiyovu Sport,Rutsiro FC,2.0,1.0,2.0,1.0,,,119,2.288645887855961
282,2025-05-17,15:00:00,2.Lig Kuzey Norrland,2139719,Skelleftea,Bergnasets Aik,4.0,1.0,4.0,1.0,,,282,2.2924222996647017
678,2025-05-17,14:00:00,Danimarka 3.Ligi - Yükselme Turu,2143674,Holbaek,Odder,2.0,0.0,2.0,0.0,,,678,2.2992172581119865
483,2025-05-18,22:00:00,Bolivya Profesyonel Ligi,2129266,San Antonio Bulo Bul,Blooming,,,,,,,483,2.3092856038177696
460,2025-05-17,17:00:00,Litvanya 1. Ligi,2127400,Panevezys,Riteriai,3.0,0.0,3.0,0.0,,,460,2.336065067586945
204,2025-05-18,17:00:00,İzlanda Urvalsdeild,2129610,Vestmannaeyjar,KA Akureyri,,,,,,,204,2.33811890202359
680,2025-05-18,02:00:00,Peru Primera Ligi,2147952,RL Garcilaso,Cultural San,2.0,2.0,3.0,3.0,,,680,2.344525538355255
679,2025-05-16,18:30:00,Litvanya Lig 1,2125746,Be1 Nfa,FK Ekranas,0.0,1.0,0.0,1.0,,,679,2.3522967499871275
